"id_sscc","Periodo","Edad_media_de_la_población","Porcentaje_de_población_menor_de_18_años","Porcentaje_de_población_de_65_y_más_años","Tamaño_medio_del_hogar","Porcentaje_de_hogares_unipersonales","Población","Porcentaje_de_población_española","Índice_de_Gini","Distribución_de_la_renta_P80/P20","Renta_neta_media_por_persona_","Renta_neta_media_por_hogar","Media_de_la_renta_por_unidad_de_consumo","Mediana_de_la_renta_por_unidad_de_consumo","Renta_bruta_media_por_persona","Renta_bruta_media_por_hogar","tipo_eleccion","anyo_proceso","mes_proceso","id_ca","n_censo_ine","n_escrutinio_censo","n_escrutinio_censo_extr","n_votantes_censo_extr","n_partici_primer_av","n_partici_segund_av","n_vot_blanco","n_vot_nulos","PSOE","PP","Cs","ERC","VOX","JUNTS","PNV","PODEMOS_IU","EH_Bildu","BNG","CUP","N_VOTOS","P_PSOE","P_PP","P_Cs","P_ERC","P_VOX","P_JUNTS","P_PODEMOS_IU","P_CUP"
"0801901030",2019,41.4,10.5,15.4,2.32,37.9,2280,52.3,39.1,3.3,11198,27729,17133,13650,14255,35300,2,2019,11,9,1148,1148,0,0,376,522,1,4,154,48,23,131,30,62,0,124,0,0,53,625,0.2464,0.0768,0.0368,0.2096,0.048,0.0992,0.1984,0.0848
"0801901031",2019,39.8,9.3,11.7,2.27,37.9,1460,45,42.3,3.9,11265,27696,16295,12950,13987,34389,2,2019,11,9,639,639,0,0,208,290,2,1,96,20,16,43,24,35,0,76,0,0,29,339,0.283185840707965,0.0589970501474926,0.0471976401179941,0.126843657817109,0.0707964601769911,0.103244837758112,0.224188790560472,0.0855457227138643
"0801901032",2019,43.5,7,17.5,1.95,45.5,1761,56.3,35.2,2.9,14474,28759,20114,17150,17722,35213,2,2019,11,9,971,971,0,0,276,482,3,0,115,41,33,139,38,61,0,102,0,0,36,565,0.20353982300885,0.0725663716814159,0.0584070796460177,0.246017699115044,0.0672566371681416,0.107964601769912,0.180530973451327,0.063716814159292
"0801901033",2019,41.3,8.4,15.1,2.07,42.9,1103,55,31.5,2.8,12109,25309,17117,15750,14580,30472,2,2019,11,9,582,582,0,0,191,274,3,3,60,18,18,69,20,29,0,78,0,0,14,306,0.196078431372549,0.0588235294117647,0.0588235294117647,0.225490196078431,0.065359477124183,0.0947712418300654,0.254901960784314,0.0457516339869281
"0801901034",2019,42.6,7,16.7,1.93,47.2,918,57,33,2.7,12137,24159,16782,15050,14570,29003,2,2019,11,9,516,516,0,0,170,227,0,0,75,14,10,67,19,22,0,56,0,0,15,278,0.26978417266187,0.0503597122302158,0.0359712230215827,0.241007194244604,0.0683453237410072,0.079136690647482,0.201438848920863,0.0539568345323741
"0801901035",2019,41.9,8.1,16.8,2.04,44.4,1229,55.9,34,3.2,11785,24822,16370,15050,13988,29463,2,2019,11,9,652,652,0,0,242,336,1,3,83,23,17,92,22,32,0,80,0,0,14,363,0.228650137741047,0.0633608815426997,0.046831955922865,0.253443526170799,0.0606060606060606,0.0881542699724518,0.220385674931129,0.0385674931129477
"0801901036",2019,44.6,10.4,20.9,2.33,31.2,1130,73.3,32.3,2.9,13071,30951,19262,15750,15948,37765,2,2019,11,9,805,805,0,0,296,393,2,5,84,27,31,136,19,47,0,70,0,0,35,449,0.187082405345212,0.0601336302895323,0.0690423162583519,0.302895322939866,0.0423162583518931,0.10467706013363,0.155902004454343,0.0779510022271715
"0801901037",2019,43.9,11.7,20,2.35,33.6,1382,71.3,32,2.7,12556,30363,18371,17150,15040,36368,2,2019,11,9,889,889,0,0,353,469,2,0,113,34,18,169,31,46,0,101,0,0,41,553,0.204339963833635,0.0614828209764919,0.0325497287522604,0.305605786618445,0.0560578661844485,0.0831826401446655,0.182640144665461,0.0741410488245931
"0801901038",2019,40,8.2,12.1,2.02,45.9,1466,47.7,35.7,3.4,11725,24684,16066,14350,14124,29734,2,2019,11,9,658,658,0,0,237,315,3,0,68,19,20,111,18,34,0,72,0,0,23,365,0.186301369863014,0.0520547945205479,0.0547945205479452,0.304109589041096,0.0493150684931507,0.0931506849315069,0.197260273972603,0.063013698630137
"0801901039",2019,43.1,9.1,16.7,2.23,35.4,1298,61.5,32.5,2.8,12325,28278,17666,15750,14830,34025,2,2019,11,9,748,748,0,0,292,407,4,1,82,20,11,144,28,57,0,86,0,0,26,454,0.180616740088106,0.0440528634361234,0.0242290748898678,0.317180616740088,0.0616740088105727,0.125550660792952,0.18942731277533,0.0572687224669604
