"pais","codigo_pais","anio","poblacion","gini","dualismo_sectorial","pib","inversion_extranjera","diversidad_etnica","tipo_regimen","gasto_educ","gasto_salud","gasto_segsocial","bal_legislativo","represion"
"Belice","BLZ",1972,47.3684196472168,,,4522.08,,1,0,6.8,4.9,2.7,0,0
"Belice","BLZ",1973,47.5250205993652,,,4568.06,,1,0,7.7,5.4,3.2,0,0
"Belice","BLZ",1974,47.6299629211426,,,4632.87,,1,0,5.8,4.3,3.9,0,0
"Belice","BLZ",1975,47.6433448791504,,,4556.63,,1,0,6.2,4.3,4.9,0,0
"Belice","BLZ",1976,47.5592880249023,,,4880.94,,1,0,7,4.4,5,0,0
"Belice","BLZ",1977,47.3958129882813,,,4811,,1,0,6.5,4.4,4.2,0,0
"Belice","BLZ",1978,47.1591415405273,,,5203.21,1.46735143066764,1,0,6.3,4.4,4.2,0,0
"Belice","BLZ",1979,46.8734970092773,,,5379.52,-0.0329380764163373,1,0,6.6,4.9,4.7,0,0
"Belice","BLZ",1980,46.5546531677246,,,5530.38,,1,0,6.5,5,5.4,0,0
"Belice","BLZ",1981,46.209831237793,,,5624.93,-1.03680663556246,1,0,7,4.9,5.3,-0.138888895511627,0
"Belice","BLZ",1982,45.8435096740723,,,5571.49,,1,4,5.9,4.1,6,-0.138888895511627,0
"Belice","BLZ",1983,45.4742660522461,,,5224.99,,1,4,5.7,3.9,6,-0.138888895511627,0
"Belice","BLZ",1984,45.1154403686523,,,4853.58,-1.75438596491228,1,4,6.3,4.3,6.5,-0.138888895511627,0
"Belice","BLZ",1985,44.7785530090332,,,4506.4,1.76906526416447,1,4,6.4,4,7.4,-0.375,0
"Belice","BLZ",1986,44.457878112793,,,4649.28,2.01887206495501,1,4,5.8,4.1,8,-0.375,0
"Belice","BLZ",1987,44.1543769836426,,,4938.12,2.47694796734345,1,4,5.9,4.2,7.2,-0.375,0
"Belice","BLZ",1988,43.8789100646973,,,5213.76,4.44585582724674,1,4,5.7,3.4,,-0.375,0
"Belice","BLZ",1989,43.646656036377,,,5766.32,5.13561866399587,1,4,6.2,3.9,,-0.375,0
"Belice","BLZ",1990,43.4599456787109,,,6228.15,4.16414493796469,1,4,7.9,,,-0.232142850756645,0
"Belice","BLZ",1991,43.3259468078613,,,6261.06,3.05809898002919,1,4,,,,-0.232142850756645,0
"Belice","BLZ",1992,43.2270889282227,,,7060.34,3.01074791563331,1,4,6.9,,,-0.232142850756645,0
"Belice","BLZ",1993,43.1166229248047,56,-7.4922148442965,7390.82,1.64356254431652,1,4,7.5,,,-0.196428552269936,0
"Belice","BLZ",1994,42.938404083252,58,-6.0360790333265,7139.26,2.64644507353068,1,4,7.2,,,-0.275862038135529,0
"Belice","BLZ",1995,42.6551742553711,59.5,-9.4280613770698,7561.57,3.39498731442927,1,4,,,,-0.275862038135529,0
"Belice","BLZ",1996,42.2606239318848,56.9,-10.9461038538214,7375.57,2.58548903364312,1,4,,,,-0.275862038135529,0
"Belice","BLZ",1997,41.7797203063965,55,-12.4995805544029,7289.94,1.82742805494354,1,4,,,,-0.275862038135529,0
"Belice","BLZ",1998,41.2501182556152,52,-8.2609052168801,7186.81,2.56215783019842,1,4,,,,-0.275862038135529,0
"Belice","BLZ",1999,40.7189674377441,50,-10.2198907638457,7265.89,7.31346101267054,1,4,,,,-0.0517241507768631,0
"Belice","BLZ",2000,40.2131729125977,,,7736.02,2.80622331549944,1,4,5.6,15,,-0.0517241507768631,0
"Belice","BLZ",2001,39.7380905151367,,,7922.54,7.01538354203736,1,4,7.2,14,2,-0.0517241507768631,0
"Belice","BLZ",2002,39.2805213928223,,,8508.24,2.72192151282631,,4,7,15,,-0.0517241507768631,0
"Belice","BLZ",2003,38.8328056335449,,,8742.04,-1.10312068999298,,4,7.8,14,,-0.120700001716614,0
"Belice","BLZ",2004,38.3806228637695,,-6.0001097500634,9101.4,10.539884327213,,4,7.2,14,,-0.120700001716614,0
"Belice","BLZ",2005,37.9148292541504,,-4.1126181735369,9026.25,11.3900698609026,,4,6.9,,,-0.120700001716614,0
"Belice","BLZ",2006,37.4392890930176,,,9530.51,8.93911423802412,,4,,,,-0.120700001716614,0
"Belice","BLZ",2007,36.9575386047363,,,9252.68,10.8771103493319,,4,,,,-0.403250008821487,0
"Belice","BLZ",2008,36.4677848815918,,,9283.99,12.3969992433343,,4,,,,-0.403250008821487,0
"Belice","BLZ",2009,35.9668579101563,,,8459.1,8.14088007854207,,4,,,,-0.403250008821487,0
"Belice","BLZ",2010,35.4548835754395,,,,6.90351074093541,,4,,,,-0.403250008821487,0
"Belice","BLZ",2011,34.9307594299316,,,,6.41211608024417,,4,,,,-0.403250008821487,0
"Belice","BLZ",2012,34.3998031616211,,,,12.3391221603267,,4,,,,-0.274199992418289,0
"Bolivia","BOL",1970,43.0127906799316,,,2777.26,1.94303475670307,1,1,,,,0,0
"Bolivia","BOL",1971,43.0481491088867,,,2838.25,0.173443983402489,1,1,,,,0,0
"Bolivia","BOL",1972,43.0877952575684,,,2962.84,1.28854949162679,1,1,,,,0,0
"Bolivia","BOL",1973,43.1199569702148,,,3078.54,0.364206861077038,1,1,,,,0,0
"Bolivia","BOL",1974,43.1299705505371,,,3120.31,2.10608273449769,1,1,,,,0,0
"Bolivia","BOL",1975,43.1088027954102,,,3268.88,2.56152784820649,1,1,,,,0,0
"Bolivia","BOL",1976,43.0541915893555,,,3406.03,-0.296476979641112,1,1,,,,0,0
"Bolivia","BOL",1977,42.9708824157715,,,3494.3,-0.0371812142890324,1,1,4.1,2,0.6,0,0
"Bolivia","BOL",1978,42.8654823303223,,,3463.53,0.30599585117417,1,1,3.7,1.9,0.6,0,0
"Bolivia","BOL",1979,42.7470436096191,,,3439.89,1.51537645493847,1,1,3.2,2.1,0.7,0,0
"Bolivia","BOL",1980,42.6218528747559,,-27.4837568622255,3331.55,2.00551501529331,1,1,3.2,2.1,0.4,0,0
"Bolivia","BOL",1981,42.4940414428711,,-27.0291982435422,3312.39,2.52732417800292,1,1,4.5,2.6,1.6,-0.111538395285606,0
"Bolivia","BOL",1982,42.3626327514648,,-28.7738905095641,3130.5,1.0940061618676,1,1,5,2.1,1.4,-0.111538395285606,0
"Bolivia","BOL",1983,42.2231330871582,,-26.7125293403884,2901.42,0.239734907996904,1,3,4.7,2.6,1.2,-0.111538395285606,0
"Bolivia","BOL",1984,42.0694351196289,,-24.5461948222871,2853.58,0.210714626439191,1,3,4.3,2.4,1.7,-0.111538395285606,0
"Bolivia","BOL",1985,41.899169921875,,-26.8363006978713,2776.34,0.353338661239021,1,3,4.2,2.4,1.7,-0.111538395285606,0
"Bolivia","BOL",1986,41.7082557678223,51.6,-29.0713994150389,2638.12,0.505129656366704,1,3,,,,-0.311538394540548,0
"Bolivia","BOL",1987,41.5033187866211,,-29.6834499286755,2688.16,1.55935329946125,1,3,,,,-0.311538394540548,0
"Bolivia","BOL",1988,41.3042869567871,,-30.2362773673217,2696.85,-0.219679089352644,1,3,4.4,2.2,0.3,-0.311538394540548,0
"Bolivia","BOL",1989,41.1360092163086,52.5,14.4677017697152,2750.74,-0.517389934981399,1,3,4.6,2.1,0.3,-0.311538394540548,0
"Bolivia","BOL",1990,41.0123519897461,54.5,15.5408526403413,2801.02,0.558798938246739,1,3,4.7,2.2,0.2,-0.276923093944788,0
"Bolivia","BOL",1991,40.9372444152832,42,15.2887973012659,2864.75,0.97318876394722,1,3,4.9,2.2,1.1,-0.276923093944788,0
"Bolivia","BOL",1992,40.897834777832,49.5,13.9268513192596,2842.26,1.64957896350169,1,3,5.2,2,1.2,-0.276923093944788,0
"Bolivia","BOL",1993,40.8708534240723,51,14.4290893193919,2898.13,2.15878643126781,1,4,5.9,3,1.3,-0.276923093944788,0
"Bolivia","BOL",1994,40.8265914916992,,15.5149544106864,2979.35,2.17681379105816,1,4,5.9,4,1.4,-0.399999964982271,0
"Bolivia","BOL",1995,40.7449569702148,52.7,14.6836135120641,3050.44,5.84795796181383,1,4,5.2,2.6,1.5,-0.399999964982271,0
"Bolivia","BOL",1996,40.6202278137207,58.2,11.0774302667056,3103.27,6.40939666507773,1,4,5.1,2,1.5,-0.399999964982271,0
"Bolivia","BOL",1997,40.4580116271973,56,11.5406546913792,3159.42,9.21807393194474,1,4,5.7,2.3,1.6,-0.399999964982271,0
"Bolivia","BOL",1998,40.2641563415527,,,3217.21,11.1715219124312,1,4,,,,-0.373076915740967,0
"Bolivia","BOL",1999,40.047966003418,56,-21.9940942191896,3195.7,12.1966503880343,1,4,,,,-0.373076915740967,0
"Bolivia","BOL",2000,39.8152923583984,62.2,-21.7923503625187,3223.89,8.76830715399938,1,4,5,2.4,4.4,-0.373076915740967,0
"Bolivia","BOL",2001,39.5697860717773,56,-26.284637027761,3235.81,8.66860956528485,1,4,5.8,2.4,4.6,-0.373076915740967,0
"Bolivia","BOL",2002,39.3077278137207,58,-24.7012127516662,3236.9,8.55789343094917,,4,5.5,2.5,4.8,0.0306499972939491,0
"Bolivia","BOL",2003,39.0195960998535,53,-19.6819982455238,3278.58,2.44234490803722,,4,5.2,2.4,4.7,0.0306499972939491,0
"Bolivia","BOL",2004,38.6928367614746,,-19.7253425735027,3366.11,0.745772609767832,,4,5.3,2.5,4.5,0.0306499972939491,0
"Bolivia","BOL",2005,38.3210105895996,56,-24.2219853009087,3428.71,-2.49884905080723,,4,,3,4.4,0.0306499972939491,0
"Bolivia","BOL",2006,37.9015045166016,54,-25.6238895453777,3535.38,2.45168746724883,,4,,2.7,,0.226849989965558,0
"Bolivia","BOL",2007,37.4433479309082,55,-23.2226035324784,3619.77,2.79183786661418,,4,,,,0.226849989965558,0
"Bolivia","BOL",2008,36.9656181335449,54,-20.8305942516093,3744.31,3.07260183830872,,4,,,,0.226849989965558,0
"Bolivia","BOL",2009,36.4933547973633,,-18.2706547219984,3793.85,2.43967814961288,,4,,,,0.226849989965558,0
"Bolivia","BOL",2010,36.0442733764648,,,,3.1654435637675,,4,,,,0.403850039467216,0
"Bolivia","BOL",2011,35.6253623962402,,,,3.58661124617799,,4,,,,0.403850039467216,0
"Bolivia","BOL",2012,35.2325706481934,,,,3.92069936345091,,4,,,,0.403850039467216,0
"Brasil","BRA",1970,42.3442230224609,59,,4480.76,,1,2,3.7,0.9,,0,1
"Brasil","BRA",1971,41.9721412658691,,,4903.88,,1,2,3.1,0.9,,0,1
"Brasil","BRA",1972,41.5809669494629,61,,5352.16,,1,2,2.9,0.8,0.2,0,1
"Brasil","BRA",1973,41.1695709228516,,,5932.42,,1,2,3,0.7,0.1,0,1
"Brasil","BRA",1974,40.7348976135254,55.3,,6309.15,,1,2,3.1,0.9,0.2,0,1
"Brasil","BRA",1975,40.278507232666,,,6404.94,1.05246670554196,1,2,2.7,0.9,0.4,0,1
"Brasil","BRA",1976,39.7976036071777,60,,6974.56,1.01848320759275,1,2,3.3,1,0.4,0,1
"Brasil","BRA",1977,39.30322265625,,,7069.65,1.04046468596072,1,2,3.2,1,0.3,0,1
